id,titre,priorite,statut,commit_correctif,preuve,verifie_candidat,verifie_production,note
UI-03,Mode personnalisé combinant de faux ingrédients,P0,Vérifié sur candidat,5f7d6e73,critère 100 % T = score_tech vérifié sur 5 titres,oui,non,score_fond n'était émis nulle part
BT-01,Gain compté deux fois dans le backtest,P0,Vérifié sur candidat,b09112eb,cas 100-110-120 + 3 stratégies,oui,non,132 au lieu de 120
BT-02,Frais d'entrée absents de la courbe,P0,Vérifié sur candidat,13f3d9ee,aller-retour à prix égal = (1-f)/(1+f),oui,non,défaut de mon propre correctif
OPS-01,Bulletin matinal jamais envoyé — secret MAIL_TO absent,P0,Ouvert,eca5d891,étape de vérification qui nomme le secret,non,non,"12 runs, 12 échecs depuis le 03/09"
OPS-02,Planificateur GitHub ne déclenche plus le moteur,P0,Ouvert,,,non,non,journaux du robot à fournir séparément
OPS-03,Publication avant exécution des contrôles,P0,Vérifié sur candidat,13f3d9ee,suite complète bloquante avant push,oui,non,tests en continue-on-error après le push
RCH-01,Prix synthétiques encore générés dans la chaîne de recherche,P0,Ouvert,,,non,non,phase8_correlations.py:186 appelle generate_synthetic_price_series dans build_price_panel — DISTINCT de BT-01/BT-02 qui portaient sur la comptabilité
RCH-02,Cibles aléatoires dans phase9_ml,P0,Ouvert,,,non,non,"phase9_ml.py:227 rng.binomial(1, 0.35) en l absence de prix — une étiquette tirée au sort n est pas un résultat"
RCH-03,Séparation temporelle du protocole non établie,P0,Ouvert,,,non,non,lot 6 — aucun protocole hors échantillon écrit à ce jour
OUT-02,Datation des chandelles — origine à documenter,P2,Vérifié sur candidat,,"dates issues de DateDernierCours/DateCotation des charges utiles, jamais du titre du PDF",oui,non,"⚠️ 64 des 79 titres de la séance 08/09 viennent de CDG, même éditeur que le bulletin : recoupement de canal, pas de source indépendante"
INV-01,Quatre volumes médians faux dans le premier inventaire,P1,Vérifié sur candidat,,"pipeline/inventaire.py calcule, statistics.median",oui,non,"sorted(v)[n//2] rend l élément supérieur du milieu, pas la médiane"
INV-02,Argument de diversification sectorielle erroné,P2,Vérifié sur candidat,,"ADH et ADI sont tous deux Immobilier : TROIS secteurs, pas quatre",oui,non,corrigé dans INVENTAIRE_LOT1
NRM-01,Instantané et couche normalisée confondus,P1,Vérifié sur candidat,,"datasets/lot1b/ dérivé, distinct de datasets/lot1a/ figé",oui,non,"lot 1B — 46 tests, dont l'identité des valeurs observation par observation — vérifié indépendamment par la revue au commit 54b731ac"
NRM-02,Manifeste qualifiant l'instantané de données brutes fournisseur,P1,Vérifié sur candidat,,MANIFESTE 1A réécrit : « INSTANTANÉ des séries du dépôt » + réserve explicite,oui,non,"aucune charge utile de source n'est conservée dans le dépôt — c'est une lacune, pas une convention — vérifié indépendamment par la revue au commit 95f818ab"
NRM-03,Commit du gel absent du manifeste,P1,Vérifié sur candidat,,"_commit_depot complet + commit_source_complet par série, testés sur 40 caractères",oui,non,un commit abrégé ne permet pas de rejouer le gel — vérifié indépendamment par la revue au commit 95f818ab
NRM-04,État d'ajustement non déclaré série par série,P1,Vérifié sur candidat,,etat_ajustement sur les 7 séries ; « inconnu » est le défaut,oui,non,« sans opération déclarée » n'est pas « vérifié sans opération »
NRM-05,Bougie mêlant deux bases de prix admise en l'état,P0,Livré pour revue,,"contrôle d'amplitude déduit de R10 : h/l > 1,222 impossible",oui,non,SOT 05/05 satisfait l'invariant OHLC : aucun contrôle de forme ne pouvait la voir — règle revue en 1B.1 : contextualisée par régime
NRM-06,Premier détecteur d'écart de base faux — ne trouvait rien,P1,Livré pour revue,,remplacé ; consigné dans docs/JOURNAL_TRANSFORMATIONS.md,oui,non,"cherchait h/l == ratio à 1 % près ; SOT vaut 4,607 et non 5,000 car le cours bouge en séance — règle revue en 1B.1 : contextualisée par régime"
NRM-07,Historique SOT 5x trop bas exploité sans réserve,P0,Livré pour revue,,487 observations sur 542 déclarées sans usage admissible,oui,non,NON CORRIGÉ : multiplier par 5 fabriquerait 486 prix qu'aucune source ne confirme
NRM-08,Risque de double division sur MNG,P0,Livré pour revue,,base déclarée « ajusté une fois » ; le journal interdit de réappliquer,oui,non,"sur MNG le risque est d'agir, pas de s'abstenir — reclassé « ajustement probable », le fait n'était pas établi"
NRM-09,Tests relisant l'artefact sans chaînage au code,P1,Vérifié sur candidat,,test de reproductibilité : l'artefact livré == sortie du code au commit,oui,non,mesuré par mutation : le seuil neutralisé ne faisait tomber qu'un test sur 46 — vérifié indépendamment par la revue au commit 54b731ac
NRM-10,Journal des transformations inexistant,P1,Vérifié sur candidat,,"docs/JOURNAL_TRANSFORMATIONS.md — applique ET non appliqué, avec motifs",oui,non,une transformation absente du journal n'a pas le droit d'exister dans le code
ADM-01,Bougie sans ouverture ni clôture admise pour tous les usages,P0,Vérifié sur candidat,,clôture exploitable exigée ; test sur donnée construite,oui,non,un volume numérique et positif suffisait — relevé par la revue — vérifié indépendamment par la revue au commit 54b731ac
ADM-02,Base de prix inconnue autorisant l'exécution,P0,Livré pour revue,,"l'exécution exige un ajustement DOCUMENTÉ, pas probable",oui,non,un prix ajusté croisé avec une quantité non ajustée produit un montant faux
ADM-03,Volume infini classé comme mesuré,P1,Vérifié sur candidat,,"math.isfinite ; NaN, +inf, -inf tous invalides",oui,non,le test portait sur NaN et sur le signe : l'infini passe les deux — vérifié indépendamment par la revue au commit 54b731ac
ADM-04,Invariant OHLC rompu admis pour tous les usages,P0,Vérifié sur candidat,,"qualifier_bougie vérifie l <= o,c <= h",oui,non,trouvé en vérifiant les contre-exemples de la revue : l=99 > h=5 passait — vérifié indépendamment par la revue au commit 54b731ac
ADM-05,Usages d'analyse et d'exécution confondus,P0,Livré pour revue,,quatre usages séparés ; execution refusé par défaut,oui,non,corollaire quantités : volume refusé avant une opération sans ajustement documenté
ADM-06,Refus sans motif,P1,Livré pour revue,,dict refus {usage: motif} ; test sur la longueur des motifs,oui,non,une liste vide sans explication est inexploitable
STA-01,"Couverture calculée sur les lignes reçues, pas sur la fenêtre",P0,Vérifié sur candidat,,N = fenetre ; lignes_absentes_de_la_fenetre publié,oui,non,"fenêtre de 60 avec UNE observation = 100 % de couverture ; aucun chiffre publié déplacé, 73 médianes inchangées — vérifié indépendamment par la revue au commit 54b731ac"
AMP-01,Seuil d'amplitude tenu pour universel,P0,Livré pour revue,,"regimes_variation.py : régimes 10/6/20 %, trois issues",oui,non,"h=120 l=80, licite sous ±20 %, était déclarée impossible — relevé par la revue — portée corrigée en 1B.2 : enveloppe testée, pas conformité"
AMP-02,Seuils réglementaires sans source ni période de validité,P1,Livré pour revue,,"SOURCE_SEUILS : circulaire AMMC 25/06/2026, en vigueur 23/06/2026",oui,non,"⚠️ verifie_sur_source_primaire = False : relayé par la revue, non vérifié sur le texte original"
AMP-03,Bougie pile à la limite réglementaire déclarée suspecte,P1,Vérifié sur candidat,,tolérance relative EPS=1e-9 sur le dépassement,oui,non,1.2/0.8 = 1.4999999999999998 en flottant contre 120/80 = 1.5 — le contre-exemple tombait sur la frontière — vérifié indépendamment par la revue au commit 54b731ac
AMP-04,Contrôle de forme nommant une cause,P1,Livré pour revue,,"test : le résultat ne contient ni base, ni split, ni opération, ni ajust",oui,non,« la bougie mêle des prix de bases différentes » était un diagnostic rendu par un contrôle d'amplitude
AMP-05,Un contrôle non concluant refusait l'indicateur,P1,Livré pour revue,,seule une amplitude SUSPECTE écarte ; non concluant ne refuse rien,oui,non,trouvé en relisant ma propre correction : convertissait l'ignorance en verdict
PRV-01,Diagnostics de base énoncés comme des faits,P0,Livré pour revue,,quatre niveaux de preuve ; fait_observe / hypothese / ce_qui_manque séparés,oui,non,« ajusté une fois » et « double division » reposaient sur un rapport de clôtures
PRV-02,Absence au registre lue comme base saine,P0,Livré pour revue,,défaut « état inconnu » pour tout titre non diagnostiqué,oui,non,conséquence : 5 titres sur 7 n'autorisent plus aucun indicateur
CAL-02,Le 14 août déclaré fermé sur des cours immobiles,P0,Livré pour revue,,"déclassé en non_confirme ; 2 indices, vaut_preuve false",oui,non,le raisonnement écarté par la revue était revenu sous forme de source
AMP-06,Amplitude présentée comme une conformité réglementaire,P0,Livré pour revue,,"statuts renommés ; conformite_reglementaire = non vérifiable, avec ce qui manque",oui,non,"contre-exemple de la revue : réf 100, prix à 200-201, amplitude 1,005 donc « conforme » alors que tout est hors bornes"
AMP-07,Période de validité de la source ignorée,P0,Livré pour revue,,source_couvre() ; source_dans_sa_periode_de_validite publié,oui,non,3 999 des 4 306 observations (93 %) sont antérieures au 23/06/2026 — le texte cité ne les couvre pas
AMP-08,Aucun contrôle ne disposait du cours de référence,P1,Livré pour revue,,"evaluer_conformite(bougie, cours_reference, regime, date)",oui,non,répond « non vérifiable » tant qu'une des trois pièces manque ; aucune chandelle ne conserve la référence
AMP-09,Alerte d'amplitude adossée à un texte,P2,Livré pour revue,,"l'alerte ne s'appuie sur aucun texte, donc vaut à toute période",oui,non,"sinon l'alerte SOT du 05/05/2026 disparaissait, étant antérieure à la circulaire"
USG-01,Blocage excessif dès qu'une base est incertaine,P0,Livré pour revue,,"usage indicateur_exploratoire ; trois situations, trois issues",oui,non,"incertitude, anomalie constatée et validation complète mènent désormais à des usages différents"
USG-02,Besoins des indicateurs non qualifiés,P1,Livré pour revue,,BESOINS par indicateur ; une SMA n'exige que la clôture,oui,non,"surdéclarer refuse des calculs légitimes, sous-déclarer calcule sur du vide"
USG-03,Qualification impossible sur une fenêtre datée,P1,Livré pour revue,,"qualifier_fenetre(observations, indicateur, debut, fin)",oui,non,il fallait certifier tout l'historique d'un titre avant tout calcul
QTE-01,Preuve sur les prix levant la réserve sur les quantités,P0,Livré pour revue,,BASES_QUANTITES distinct ; quantite_comparable ne lit plus le niveau des prix,oui,non,une preuve sur les prix ne documente pas le traitement des volumes
QTE-02,Exécution exigeant des prix ajustés,P1,Livré pour revue,,"comptabilite_coherente() : ce qui est refusé est le MÉLANGE, pas l'ajustement",oui,non,"prix cotés + opérations traitées, ou représentation transformée dont tout suit"
QTE-03,Admissibilité confondue avec probabilité d'exécution,P2,Livré pour revue,,motif de refus renvoyant explicitement au protocole de backtest,oui,non,liquidité et règles de remplissage n'appartiennent pas à la qualification des données
BIL-01,Bilan du lot recopié de mémoire et faux,P1,Livré pour revue,,pipeline/bilan_lot.py génère docs/BILAN_LOT1B.md ; test de fraîcheur,oui,non,un titre de moins qu'en réalité ; un test interdit désormais la formulation fautive
BIL-02,Portée de la mise à l'écart de SOT mal énoncée,P1,Livré pour revue,,le bilan dit « toute la série » ; test dédié,oui,non,"les commentaires parlaient de l'historique antérieur à l'opération, le contrat écarte tout"
LT2-01,Socle mathématique des indicateurs absent,P1,Livré pour revue,,"pipeline/indicateurs.py — SMA, EMA, RSI Wilder, MACD, Bollinger, ATR, OBV ; 29 tests",oui,non,"attendus établis indépendamment : arithmétique écrite, ou cas limite déduit de la définition"
LT2-02,Risque qu'une série construite passe pour un historique,P1,Livré pour revue,,préfixe SERIE_CONSTRUITE_ ; test balayant datasets/,oui,non,instruction de la revue — les séries de test ne doivent jamais reparaître en performance
LT2-03,Premier indicateur branché sur données réelles,P2,Livré pour revue,,"calculer_indicateur.py ; ADH SMA20 et CSR RSI14 exploratoires, SOT refusé",oui,non,chaque sortie porte son verdict et sa réserve ; SOT refusé en nommant ses motifs
SRC-01,Aucune charge utile de source conservée,P1,Livré pour revue,,pipeline/import_source.py + sources/ ; enveloppe de provenance testée,oui,non,"première pièce conservée : communiqué HPS, empreinte vérifiée contre la copie"
SRC-02,Analyseur de format risquant d'être figé à l'aveugle,P1,Livré pour revue,,ANALYSEURS vide ; --inspecter décrit sans supposer de schéma,oui,non,sur instruction de la revue : examiner un fichier réel avant de figer le format
OPS-10,Registre des opérations sur titres inexistant,P0,Livré pour revue,,pipeline/operations_titres.json ; HPS établi par pièce AMMC,oui,non,2 titres seulement au registre SPLITS contre 80 au total — le défaut était « état inconnu » partout
OPS-11,HPS : split d'octobre 2023 soupçonné sans pièce,P0,Vérifié sur candidat,,communiqué AMMC téléchargé et lu ; 740 619 × 10 = 7 406 190,oui,non,l'opération est établie ; le traitement de notre série reste une hypothèse — série NON ajustée — vérifié indépendamment par la revue au commit 95f818ab
OPS-12,Une pièce risquant de justifier un ajustement automatique,P0,Livré pour revue,,"le registre le dit, et un test le vérifie",oui,non,"une pièce établit l'ÉVÉNEMENT, jamais la manière dont notre fichier l'a traité"
OPS-13,Absence de recherche lue comme historique certifié,P1,Livré pour revue,,"fenetres_examinees : période, sources, incertitudes restantes",oui,non,« aucune opération retrouvée » n'est pas « certifié » — c'est un compte rendu de recherche
RUP-01,« 13 ruptures » annoncées sans calcul reproductible,P1,Vérifié sur candidat,,pipeline/ruptures.py ; règle publiée avec chaque observation,oui,non,"relevé par la revue : un nombre qu'on ne peut recalculer est une affirmation, pas une mesure — vérifié indépendamment par la revue au commit 95f818ab"
RUP-02,Ruptures non triées entre alerte et cause,P1,Livré pour revue,,"aller-retour, sans transaction, cours = repli figé ; 13 → 4 candidates",oui,non,"une opération sur titres ne revient jamais : le tri est mécanique — PORTÉE CORRIGÉE : le tri ordonne, il n'explique pas"
QTE-04,Unité des volumes présumée sans mesure,P0,Livré pour revue,,pipeline/unites_volume.py : 2 séries impliquent > 5 Md DH/séance,oui,non,"une unité unique « nombre de titres » est incompatible ; ce que v est reste inconnu — PORTÉE CORRIGÉE : alerte d'ordre de grandeur, pas réfutation"
GRA-01,Axe des prix inversé dans le graphique,P0,Vérifié sur candidat,,"echelle() corrigée ; tests de géométrie, mutation vérifiée",oui,non,"176 en haut, 200 en bas. Aucun test de calcul ne pouvait l'attraper — vu seulement sur l'image — vérifié indépendamment par la revue au commit 95f818ab"
GRA-02,Oscillateur tracé sur l'échelle des prix,P1,Vérifié sur candidat,,PANNEAU_SEPARE ; RSI sur 0–100 avec ses repères,oui,non,"sur un titre à 200 DH, un RSI s'écrase en bas du cadre et se lit comme un prix — vérifié indépendamment par la revue au commit 95f818ab"
GRA-03,Interruptions du calendrier enjambées par le trait,P1,Vérifié sur candidat,,segments() coupe au-delà de 4 jours ; bandes visibles,oui,non,relier deux points séparés d'un mois dessine une tendance qui n'a jamais existé — vérifié indépendamment par la revue au commit 95f818ab
IND-01,ATR poursuivant le calcul sans clôture de la veille,P0,Vérifié sur candidat,,TR indéfini sans veille ; test à l'arithmétique écrite,oui,non,"retombait sur h−l : true range systématiquement plus étroit, ATR sous-estimé — vérifié indépendamment par la revue au commit 191690a1"
IND-02,Paramètres MACD annoncés mais non utilisés,P1,Livré pour revue,,"--macd court,long,signal ; périodes publiées dans la sortie",oui,non,le fichier inscrivait « periode » tout en appelant macd() avec ses défauts
FEN-01,Couverture comptant des valeurs dont l'usage est refusé,P0,Vérifié sur candidat,,USAGE_REQUIS par champ ; OBV MNG passe de exploratoire à refusé,oui,non,"19 observations sur 29 refusaient le volume, la couverture annonçait 100 % — vérifié indépendamment par la revue au commit 191690a1"
FEN-02,Fenêtre plus courte que la période de l'indicateur,P1,Vérifié sur candidat,,argument periode ; refus motivé avant tout calcul,oui,non,rendait « exploratoire » puis une série vide : verdict et résultat se contredisaient — vérifié indépendamment par la revue au commit 191690a1
FEN-03,Fenêtre enjambant une opération sur titres,P0,Livré pour revue,,operations_dans_la_fenetre() ; refus nommant la date et le ratio,oui,non,deux bases de prix s'y côtoient même si chaque observation est irréprochable
CNF-01,Bougie sans aucun prix déclarée conforme,P0,Vérifié sur candidat,,NON_VERIFIABLE si aucun champ examiné ; champs_examines publié,oui,non,la liste des dépassements restait vide et l'absence se lisait comme conformité — vérifié indépendamment par la revue au commit 191690a1
QTE-05,Seuils de l'alerte volume présentés comme indépendants,P0,Livré pour revue,,_les_seuils_sont_des_hypotheses ; verdict « ordre de grandeur suspect »,oui,non,j'avais écrit « ne dépend d'aucune source extérieure » : il dépend de deux constantes que j'ai posées
RUP-03,Volume absent confondu avec absence de transaction,P0,Livré pour revue,,etat_volume : absent / zéro enregistré / positif / invalide,oui,non,not a.get(v) and not b.get(v) : deux None donnaient « aucune transaction »
RUP-04,Catégories de ruptures présentées comme disjointes,P1,Livré pour revue,,_recouvrement publié ; les totaux ne s'additionnent pas,oui,non,une rupture peut être en aller-retour ET sans échange renseigné
SRC-03,Original écrasable par un fichier de même nom,P0,Vérifié sur candidat,,nom d'arrivée portant l'empreinte ; collision refusée,oui,non,deux exports différents du même jour s'écrasaient en silence — vérifié indépendamment par la revue au commit 191690a1
SRC-04,Référence de pièce pointant hors du dossier livré,P1,Livré pour revue,,"copie_conservee pointe sur sources/HPS/, présent dans le ZIP",oui,non,"le registre citait pieces/ammc/, absent de l'archive"
EXP-01,Premier export réel confronté à notre série,P0,Vérifié sur candidat,,pipeline/confronter_export.py ; 730 séances communes sur ADH,oui,non,"schéma relevé sur le fichier, pas deviné : 11 colonnes, séparateur point-virgule — vérifié indépendamment par la revue au commit 191690a1"
EXP-02,Unité du champ v tranchée pour ADH et CSR,P0,Livré pour revue,,v suit « Volume (MAD) » sur 92 % des 730 lignes communes,oui,non,"CORRIGÉ : le champ v CHANGE de contenu au fil de l'historique. Avant juin 2026 il suit le montant (668/668 ADH) ; depuis, tantôt la quantité, tantôt rien. Aucune unité unique."
EXP-03,"Écarts de prix avec l'opérateur, bornés dans le temps",P0,Livré pour revue,,"105 écarts ADH, tous entre juin et septembre 2026",non,non,CAUSE IDENTIFIÉE pour une partie : contamination entre entreprises. MANUAL_MAP identifie par NOM ; 5 entrées fausses jusqu'au 23/06/2026.
EXP-04,Séances présentes chez l'opérateur et absentes chez nous,P1,Ouvert,,"3 séances réelles manquantes : 22, 23 et 24/06/2026",non,non,"à rapprocher du calendrier officiel, que nous n'avons toujours pas"
GRA-04,Coupure du trait confondue avec coupure du calcul,P1,Livré pour revue,,mention explicite dans la page et test de présence,oui,non,les indicateurs enjambent les écarts calendaires ; le dessin ne le disait pas
EXP-05,« v » présenté comme un montant sur toute la série,P0,Livré pour revue,,correspondances par PÉRIODE ; couche candidate gardant les deux grandeurs séparées,oui,non,ADH avant juin : 668 montant / 0 titres ; depuis juin : 5 montant / 25 titres / 32 ni l'un ni l'autre
EXP-06,Décalage d'une séance déclaré écarté à tort,P0,Livré pour revue,,piste cherchée sur les DEUX colonnes et sur plusieurs reculs,oui,non,"je ne l'avais testée que sur les montants, là où le champ n'avait pas changé ; les cas forment des chaînes"
EXP-07,"Absences du candidat rendues comme 0,00",P0,Livré pour revue,,« non renseigné » dans le rendu ; catégorie « non comparable » distincte,oui,non,"CSR 08/11/2023 et 21/03/2024 : l'export porte « - », mon tableau affichait 0,00"
EXP-08,Troncature confondue avec un écart de valeur,P1,Livré pour revue,,hypothèse « transformation » distincte ; tronque_vers(),oui,non,"CSR 196,80 → 196 et 399,70 → 399 : la même valeur amputée, pas une autre mesure"
EXP-09,"« 105 écarts » confondant champs, dates et clôtures",P1,Livré pour revue,,trois compteurs distincts publiés,oui,non,"ADH : 105 champs, 48 dates, 24 clôtures — CSR : 105, 45, 29"
EXP-10,Dates internes et extension non distinguées,P1,Livré pour revue,,"trois catégories : internes, extension, antérieures",oui,non,ADH 3 internes ; CSR 6 ; les 9-10/09 sont une extension au-delà de notre dernière séance
FEN-04,Longueur minimale confondue avec la période,P1,Livré pour revue,,"longueur_minimale() par indicateur ; RSI n+1, MACD long+signal-1",oui,non,RSI 14 exige 15 clôtures ; le MACD sortait son signal à 34 et le contrôle en exigeait 35
FEN-05,Contrôle des opérations ne lisant qu'un registre sur deux,P0,Livré pour revue,,_registre_operations() fusionne SPLITS et operations_titres.json,oui,non,"HPS, l'opération la mieux établie du projet, rendait une liste vide"
FEN-06,Traversée d'opération confondue avec bases incompatibles,P1,Livré pour revue,,raccordement_etabli() ; le refus porte sur le raccordement non établi,oui,non,un historique correctement ajusté reste comparable de part et d'autre
CAN-01,Couche candidate ADH/CSR depuis les exports,P0,Livré pour revue,,"importer_export.py ; 735 séances chacun, 5 contrôles, 0 anomalie",oui,non,ancien historique conservé intact ; montants et quantités séparés
CAN-02,Journal complet des différences,P0,Livré pour revue,,"journal_differences.py ; détail NON tronqué, testé",oui,non,le rapport précédent s'arrêtait aux quarante premiers écarts
CAN-03,Graphiques comparés ancien / candidat,P1,Livré pour revue,,"--candidat ; même fenêtre, même amorçage, convention déclarée",oui,non,"ADH SMA20 : 21 points sur 24 diffèrent, écart maximal 0,50 %"
IDT-01,Un titre peut recevoir les cours d'une autre société,P0,Livré pour revue,,pipeline/identites.py ; garde-fou d'écriture branché au collecteur,oui,non,"aucun contrôle NUMÉRIQUE ne le voit : les cours reçus sont bien formés, ils appartiennent à quelqu'un d'autre"
IDT-02,"MRL demande « SODEP », qui désigne MSA",P0,Livré pour revue,,collision détectée ; écriture refusée,oui,non,la chaîne n'est PAS remplacée par un nom supposé — instruction de la revue
IDT-03,SBS demande « Super Cereales » contre notre référentiel,P0,Livré pour revue,,désaccord de fond ; écriture refusée,oui,non,"SBS = Société des Boissons du Maroc, ISIN MA0000010365 ; la « correction » de juin contredit le référentiel"
IDT-04,Premier contrôle d'identité signalant 20 titres sur 81,P1,Livré pour revue,,distinction collision / désaccord de fond / abréviation ; 7 refus,oui,non,il signalait BOA pour Bank of Africa et CMT — un contrôle qui crie au loup n'est plus lu
CTM-01,Aucun inventaire des fenêtres contaminées,P0,Livré pour revue,,pipeline/contamination.py ; table MSA/MUT reproductible 18/18,oui,non,niveaux distincts : établi par la mesure / nommé par une pièce non reproduit / risque sans fenêtre
CTM-02,Une fenêtre contaminée pouvait alimenter un indicateur,P0,Livré pour revue,,fenetre.py refuse et nomme l'appartenance en cause,oui,non,"éprouvé sur les vraies chandelles de MSA, pas sur une donnée construite"
CTM-03,Absence de recouvrement lue comme absence de fichier,P1,Livré pour revue,,"HAL, BMC, RDS existent ; c'est leur COUVERTURE qui manque",oui,non,"j'avais écrit « pas de fichier de chandelles » — faux, relevé par la revue"
CTM-04,Trois horloges confondues,P1,Livré pour revue,,"date de séance / date d'écriture / date du correctif, déclarées",oui,non,j'avais appelé le 18/06 « jour de la correction » : c'est une date de séance
FUS-01,« Les deux ensembles sont sans danger » — affirmation fausse,P0,Livré pour revue,,docs/PROPOSITION_FUSION.md ; périmètre vérifié fichier par fichier,oui,non,"la branche modifie update_bvc.yml, le workflow qui ÉCRIT data.json"
FUS-02,Une fusion naïve ferait reculer le site de 3 jours,P0,Livré pour revue,,data.json et news.json exclus du périmètre proposé,oui,non,"notre instantané date du 08/09 20h40, main du 11/09 14h01 — régression déjà subie le 25/08"
